movie,year,rating
The Shawshank Redemption,1994,9.2
The Godfather,1972,9.2
The Dark Knight,2008,9.0
The Godfather Part II,1974,9.0
12 Angry Men,1957,9.0
Schindler's List,1993,8.9
The Lord of the Rings: The Return of the King,2003,8.9
Pulp Fiction,1994,8.8
The Lord of the Rings: The Fellowship of the Ring,2001,8.8
"Il buono, il brutto, il cattivo",1966,8.8
Forrest Gump,1994,8.8
Fight Club,1999,8.7
The Lord of the Rings: The Two Towers,2002,8.7
Inception,2010,8.7
The Empire Strikes Back,1980,8.7
The Matrix,1999,8.7
Goodfellas,baddate,8.7
One Flew Over the Cuckoo's Nest,1975,8.6
Se7en,1995,8.6
brokenrow,Shichinin no samurai,1954,8.6
It's a Wonderful Life,1946,8.6
The Silence of the Lambs,1991,8.6
Cidade de Deus,2002,8.6
Saving Private Ryan,1998,8.6
La vita è bella,1997,8.6
Interstellar,2014,8.6
The Green Mile,1999,8.6
Star Wars,1977,8.6
Terminator 2: Judgment Day,1991,8.5
Back to the Future,1985,8.5
Sen to Chihiro no kamikakushi,2001,8.5
Psycho,1960,8.5
The Pianist,2002,8.5
Gisaengchung,2019,8.5
Léon,1994,8.5
The Lion King,1994,8.5
Gladiator,2000,8.5
American History X,1998,8.5
The Departed,2006,8.5
The Usual Suspects,1995,8.5
The Prestige,2006,8.5
Whiplash,2014,8.5
Casablanca,1942,8.5
Seppuku,1962,8.5
The Intouchables,2011,8.5
Hotaru no haka,1988,8.5
Modern Times,1936,8.4
Once Upon a Time in the West,1968,8.4
Rear Window,1954,8.4
Nuovo Cinema Paradiso,1988,8.4
Alien,1979,8.4
City Lights,1931,8.4
Apocalypse Now,1979,8.4
Memento,2000,8.4
Raiders of the Lost Ark,1981,8.4
Django Unchained,2012,8.4
WALL·E,2008,8.4
The Lives of Others,2006,8.4
Sunset Blvd.,1950,8.4
Paths of Glory,1957,8.4
The Great Dictator,1940,8.4
The Shining,1980,8.4
Avengers: Infinity War,2018,8.4
Witness for the Prosecution,1957,8.4
Aliens,1986,8.3
Spider-Man: Into the Spider-Verse,2018,8.3
American Beauty,1999,8.3
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.3
The Dark Knight Rises,2012,8.3
Oldeuboi,2003,8.3
Amadeus,1984,8.3
Joker,2019,8.3
Inglourious Basterds,2009,8.3
Coco,2017,8.3
Toy Story,1995,8.3
Braveheart,1995,8.3
Das Boot,1981,8.3
Avengers: Endgame,2019,8.3
Mononoke-hime,1997,8.3
Once Upon a Time in America,1984,8.3
Good Will Hunting,1997,8.3
Top Gun: Maverick,2022,8.3
Kimi no Na wa.,2016,8.3
Requiem for a Dream,2000,8.3
Singin' in the Rain,1952,8.3
3 Idiots,2009,8.3
Toy Story 3,2010,8.3
Tengoku to jigoku,1963,8.3
Star Wars: Episode VI - Return of the Jedi,1983,8.3
Capharnaüm,2018,8.3
Eternal Sunshine of the Spotless Mind,2004,8.3
2001: A Space Odyssey,1968,8.3
Reservoir Dogs,1992,8.3
Jagten,2012,8.3
Idi i smotri,1985,8.3
Citizen Kane,1941,8.3
M - Eine Stadt sucht einen Mörder,1931,8.3
Lawrence of Arabia,1962,8.3
North by Northwest,1959,8.2
Vertigo,1958,8.2
Le fabuleux destin d'Amélie Poulain,2001,8.2
A Clockwork Orange,1971,8.2
The Apartment,1960,8.2
Ikiru,1952,8.2
Double Indemnity,1944,8.2
Full Metal Jacket,1987,8.2
Hamilton,2020,8.2
Scarface,1983,8.2
The Sting,1973,8.2
To Kill a Mockingbird,1962,8.2
Incendies,2010,8.2
Up,2009,8.2
Heat,1995,8.2
Taxi Driver,1976,8.2
Jodaeiye Nader az Simin,2011,8.2
Metropolis,1927,8.2
L.A. Confidential,1997,8.2
Snatch,2000,8.2
Die Hard,1988,8.2
Ladri di biciclette,1948,8.2
Indiana Jones and the Last Crusade,1989,8.2
Taare Zameen Par,2007,8.2
1917,2019,8.2
Der Untergang,2004,8.2
Per qualche dollaro in più,1965,8.2
Dangal,2016,8.2
Batman Begins,2005,8.2
The Kid,1921,8.2
Some Like It Hot,1959,8.2
The Father,2020,8.2
All About Eve,1950,8.2
Green Book,2018,8.2
The Wolf of Wall Street,2013,8.2
Judgment at Nuremberg,1961,8.2
Ran,1985,8.2
Casino,1995,8.2
Pan's Labyrinth,2006,8.2
Unforgiven,1992,8.2
There Will Be Blood,2007,8.2
The Truman Show,1998,8.2
The Sixth Sense,1999,8.2
A Beautiful Mind,2001,8.2
Spider-Man: No Way Home,2021,8.2
Yôjinbô,1961,8.1
Shutter Island,2010,8.1
Monty Python and the Holy Grail,1975,8.1
The Treasure of the Sierra Madre,1948,8.1
Jurassic Park,1993,8.1
The Great Escape,1963,8.1
Rashômon,1950,8.1
Kill Bill: Vol. 1,2003,8.1
No Country for Old Men,2007,8.1
Finding Nemo,2003,8.1
The Thing,1982,8.1
The Elephant Man,1980,8.1
Chinatown,1974,8.1
Raging Bull,1980,8.1
Gone with the Wind,1939,8.1
V for Vendetta,2005,8.1
Inside Out,2015,8.1
"Lock, Stock and Two Smoking Barrels",1998,8.1
Dial M for Murder,1954,8.1
El secreto de sus ojos,2009,8.1
Hauru no ugoku shiro,2004,8.1
The Bridge on the River Kwai,1957,8.1
"Three Billboards Outside Ebbing, Missouri",2017,8.1
Trainspotting,1996,8.1
